HOG	OG	Gene Tree Parent Clade	LE17_10A	LE17_20C	LE18_22.4.newname	LE19_10.1C	LE19_114.1A	LE19_12.1	LE19_131.1	LE19_195.1	LE19_196.1	LE19_197	LE19_251	LE19_281	LE19_338.1	LE19_388.1C	LE19_4.1A	LE19_41.2	LE19_55.1	LE19_8.1	LE19_84.1	LE19_98.1
N17.HOG0000000	OG0000000	n102																	O9299_06695|biosynthetic			O9336_08045|biosynthetic
N17.HOG0000001	OG0000000	n136																	O9299_05515|biosynthetic			O9336_11305|biosynthetic
N17.HOG0000002	OG0000000	n156																	O9299_05505|biosynthetic			O9336_11295|biosynthetic
N17.HOG0000003	OG0000000	n166																	O9299_05545|biosynthetic			O9336_11335|biosynthetic
N17.HOG0000004	OG0000000	n174																	O9299_11760|biosynthetic			O9336_20655|biosynthetic
N17.HOG0000005	OG0000000	n175																	O9299_17985|biosynthetic			O9336_14840|biosynthetic
N17.HOG0000006	OG0000000	n201																	O9299_11765|biosynthetic			O9336_20660|biosynthetic
N17.HOG0000007	OG0000000	n204																	O9299_06690|biosynthetic			O9336_08040|biosynthetic
N17.HOG0000008	OG0000001	n3																	O9299_10860|biosynthetic			O9336_14545|biosynthetic
N17.HOG0000009	OG0000001	n16																	O9299_10855|biosynthetic			O9336_14550|biosynthetic
N17.HOG0000010	OG0000001	n24																	O9299_10880|biosynthetic			O9336_14525|biosynthetic
N17.HOG0000011	OG0000002	n1																	O9299_06705|transport			O9336_08055|transport
N17.HOG0000012	OG0000002	n21																	O9299_05495|transport			O9336_11285|transport
N17.HOG0000013	OG0000003	n14																	O9299_05555|biosynthetic			O9336_11345|biosynthetic
N17.HOG0000014	OG0000004	n21																	O9299_01385|biosynthetic-additional			O9336_07355|biosynthetic-additional
N17.HOG0000015	OG0000004	n23																	O9299_19130|transport			O9336_00745|transport
N17.HOG0000016	OG0000005	n9																	O9299_17975|biosynthetic			O9336_14830|biosynthetic
N17.HOG0000017	OG0000006	n9																	O9299_10890|hypothetical			O9336_14515|hypothetical
N17.HOG0000018	OG0000007	n13																	O9299_19070|regulatory			O9336_00685|regulatory
N17.HOG0000019	OG0000008	n14																	O9299_05510|biosynthetic-additional			O9336_11300|biosynthetic-additional
N17.HOG0000020	OG0000009	n7																	O9299_17980|hypothetical			O9336_14835|hypothetical
N17.HOG0000021	OG0000010	n0																	O9299_19090|other			O9336_00705|other
N17.HOG0000022	OG0000011	n0																	O9299_19095|biosynthetic-additional			O9336_00710|biosynthetic-additional
N17.HOG0000023	OG0000012	n0																	O9299_19100|biosynthetic			O9336_00715|biosynthetic
N17.HOG0000024	OG0000013	n0																	O9299_01680|biosynthetic			O9336_08800|biosynthetic
N17.HOG0000025	OG0000014	n5																	O9299_07745|biosynthetic			O9336_12240|biosynthetic
N17.HOG0000026	OG0000014	n11																	O9299_07720|biosynthetic			O9336_12215|biosynthetic
N17.HOG0000027	OG0000015	n0																	O9299_19105|hypothetical			O9336_00720|hypothetical
N17.HOG0000028	OG0000016	n0																	O9299_01675|hypothetical			O9336_08805|hypothetical
N17.HOG0000029	OG0000017	n0																	O9299_01670|hypothetical			O9336_08810|hypothetical
N17.HOG0000030	OG0000018	n0																	O9299_03950|hypothetical			O9336_11520|hypothetical
N17.HOG0000031	OG0000019	n0																	O9299_03955|biosynthetic			O9336_11525|biosynthetic
N17.HOG0000032	OG0000020	n0																	O9299_03940|hypothetical			O9336_11510|hypothetical
N17.HOG0000033	OG0000021	n0																	O9299_03945|hypothetical			O9336_11515|hypothetical
N17.HOG0000034	OG0000022	n0																	O9299_03960|hypothetical			O9336_11530|hypothetical
N17.HOG0000035	OG0000023	n0																	O9299_19085|hypothetical			O9336_00700|hypothetical
N17.HOG0000036	OG0000025	n0																	O9299_01685|hypothetical			O9336_08795|hypothetical
N17.HOG0000037	OG0000026	n0																	O9299_01665|biosynthetic-additional			O9336_08815|biosynthetic-additional
N17.HOG0000038	OG0000027	n0																	O9299_03930|hypothetical			O9336_11500|hypothetical
N17.HOG0000039	OG0000028	n0																	O9299_03935|hypothetical			O9336_11505|hypothetical
N17.HOG0000040	OG0000029	n0																	O9299_19080|other			O9336_00695|other
N17.HOG0000041	OG0000030	n0																	O9299_01660|hypothetical			O9336_08820|hypothetical
N17.HOG0000042	OG0000034	n0																	O9299_19110|hypothetical			O9336_00725|hypothetical
N17.HOG0000043	OG0000035	n0																	O9299_01655|hypothetical			O9336_08825|hypothetical
N17.HOG0000044	OG0000036	n0																	O9299_01650|hypothetical			O9336_08830|hypothetical
N17.HOG0000045	OG0000037	n0																	O9299_10865|hypothetical			O9336_14540|hypothetical
N17.HOG0000046	OG0000038	n3																	O9299_01645|other			O9336_08835|other
N17.HOG0000047	OG0000047	n0																	O9299_05550|biosynthetic-additional			O9336_11340|biosynthetic-additional
N17.HOG0000048	OG0000049	n0																	O9299_01640|biosynthetic-additional			O9336_08840|biosynthetic-additional
N17.HOG0000049	OG0000050	n0																	O9299_10870|hypothetical			O9336_14535|hypothetical
N17.HOG0000050	OG0000052	n7																	O9299_10875|hypothetical			O9336_14530|hypothetical
N17.HOG0000051	OG0000056	n0																	O9299_19075|biosynthetic-additional			O9336_00690|biosynthetic-additional
