HOG	OG	Gene Tree Parent Clade	LE17_10A	LE17_20C	LE18_22.4.newname	LE19_10.1C	LE19_114.1A	LE19_12.1	LE19_131.1	LE19_195.1	LE19_196.1	LE19_197	LE19_251	LE19_281	LE19_338.1	LE19_388.1C	LE19_4.1A	LE19_41.2	LE19_55.1	LE19_8.1	LE19_84.1	LE19_98.1
N13.HOG0000000	OG0000000	n4			ctg560_3|biosynthetic									ctg1773_1|biosynthetic				O9290_11900|biosynthetic				
N13.HOG0000001	OG0000000	n27												ctg849_2|biosynthetic				O9290_00990|biosynthetic				
N13.HOG0000002	OG0000000	n31			ctg358_10|biosynthetic																	
N13.HOG0000003	OG0000000	n44			ctg560_6|biosynthetic									ctg238_1|biosynthetic				O9290_11915|biosynthetic				
N13.HOG0000004	OG0000000	n47												ctg206_2|biosynthetic				O9290_00985|biosynthetic				
N13.HOG0000005	OG0000000	n55												ctg1396_1|biosynthetic				O9290_01000|biosynthetic				
N13.HOG0000006	OG0000000	n61												ctg357_2|biosynthetic				O9290_18875|biosynthetic				
N13.HOG0000007	OG0000000	n67												ctg982_1|biosynthetic				O9290_07545|biosynthetic				
N13.HOG0000008	OG0000000	n73			ctg138_7|biosynthetic									ctg456_3|biosynthetic				O9290_15725|biosynthetic				
N13.HOG0000009	OG0000000	n87												ctg1773_3|biosynthetic-additional, ctg1662_2|biosynthetic-additional								
N13.HOG0000010	OG0000000	n93			ctg560_4|biosynthetic									ctg555_1|biosynthetic				O9290_11905|biosynthetic				
N13.HOG0000011	OG0000000	n98												ctg1366_2|biosynthetic, ctg1209_19|biosynthetic								
N13.HOG0000012	OG0000000	n102			ctg489_9|biosynthetic									ctg1707_1|biosynthetic					O9299_06695|biosynthetic			O9336_08045|biosynthetic
N13.HOG0000013	OG0000000	n121			ctg489_8|biosynthetic																	
N13.HOG0000014	OG0000000	n125												ctg1707_2|biosynthetic				O9290_03545|biosynthetic				
N13.HOG0000015	OG0000000	n131												ctg1364_1|biosynthetic				O9290_09250|biosynthetic				
N13.HOG0000016	OG0000000	n136			ctg639_15|biosynthetic									ctg46_1|biosynthetic				O9290_26340|biosynthetic	O9299_05515|biosynthetic			O9336_11305|biosynthetic
N13.HOG0000017	OG0000000	n148			ctg560_1|biosynthetic													O9290_11890|biosynthetic				
N13.HOG0000018	OG0000000	n151			ctg638_1|biosynthetic									ctg1684_1|biosynthetic				O9290_21745|biosynthetic				
N13.HOG0000019	OG0000000	n156			ctg639_17|biosynthetic									ctg521_4|biosynthetic				O9290_26330|biosynthetic	O9299_05505|biosynthetic			O9336_11295|biosynthetic
N13.HOG0000020	OG0000000	n166			ctg639_9|biosynthetic									ctg326_5|biosynthetic				O9290_26370|biosynthetic	O9299_05545|biosynthetic			O9336_11335|biosynthetic
N13.HOG0000021	OG0000000	n173			ctg489_11|biosynthetic									ctg1328_1|biosynthetic, ctg994_1|hypothetical				O9290_18925|biosynthetic	O9299_11760|biosynthetic, O9299_17985|biosynthetic			O9336_20655|biosynthetic, O9336_14840|biosynthetic
N13.HOG0000022	OG0000000	n201																	O9299_11765|biosynthetic			O9336_20660|biosynthetic
N13.HOG0000023	OG0000000	n204			ctg489_10|biosynthetic									ctg582_1|biosynthetic					O9299_06690|biosynthetic			O9336_08040|biosynthetic
N13.HOG0000024	OG0000001	n3			ctg569_4|biosynthetic													O9290_00610|biosynthetic	O9299_10860|biosynthetic			O9336_14545|biosynthetic
N13.HOG0000025	OG0000001	n16			ctg569_5|biosynthetic														O9299_10855|biosynthetic			O9336_14550|biosynthetic
N13.HOG0000026	OG0000001	n24												ctg36_1|biosynthetic				O9290_00630|biosynthetic	O9299_10880|biosynthetic			O9336_14525|biosynthetic
N13.HOG0000027	OG0000002	n1			ctg489_7|transport													O9290_09245|transport	O9299_06705|transport			O9336_08055|transport
N13.HOG0000028	OG0000002	n12			ctg212_32|transport																	
N13.HOG0000029	OG0000002	n21			ctg639_19|transport									ctg521_1|hypothetical				O9290_26315|transport	O9299_05495|transport			O9336_11285|transport
N13.HOG0000030	OG0000002	n31			ctg560_7|transport													O9290_11920|transport				
N13.HOG0000031	OG0000003	n1			ctg358_12|biosynthetic																	
N13.HOG0000032	OG0000003	n14			ctg639_7|biosynthetic									ctg326_3|biosynthetic				O9290_26380|biosynthetic	O9299_05555|biosynthetic			O9336_11345|biosynthetic
N13.HOG0000033	OG0000004	n17																	O9299_01385|biosynthetic-additional, O9299_19130|transport			O9336_07355|biosynthetic-additional, O9336_00745|transport
N13.HOG0000034	OG0000005	n1			ctg212_28|biosynthetic																	
N13.HOG0000035	OG0000005	n9			ctg489_13|biosynthetic									ctg994_3|biosynthetic				O9290_18935|biosynthetic	O9299_17975|biosynthetic			O9336_14830|biosynthetic
N13.HOG0000036	OG0000006	n9																	O9299_10890|hypothetical			O9336_14515|hypothetical
