HOG	OG	Gene Tree Parent Clade	LE17_10A	LE17_20C	LE18_22.4.newname	LE19_10.1C	LE19_114.1A	LE19_12.1	LE19_131.1	LE19_195.1	LE19_196.1	LE19_197	LE19_251	LE19_281	LE19_338.1	LE19_388.1C	LE19_4.1A	LE19_41.2	LE19_55.1	LE19_8.1	LE19_84.1	LE19_98.1
N16.HOG0000000	OG0000000	n15													O9326_00420|biosynthetic	ctg398_7|biosynthetic						
N16.HOG0000001	OG0000000	n27													O9326_00665|biosynthetic	ctg188_2|biosynthetic						
N16.HOG0000002	OG0000000	n31													O9326_00415|biosynthetic	ctg398_8|biosynthetic						
N16.HOG0000003	OG0000000	n47														ctg188_3|biosynthetic						
N16.HOG0000004	OG0000000	n55													O9326_23810|biosynthetic	ctg122_12|biosynthetic						
N16.HOG0000005	OG0000000	n73													O9326_11030|biosynthetic, O9326_10340|biosynthetic	ctg160_17|biosynthetic						
N16.HOG0000006	OG0000000	n102													O9326_22475|biosynthetic	ctg148_14|biosynthetic						
N16.HOG0000007	OG0000000	n125													O9326_22480|biosynthetic-additional							
N16.HOG0000008	OG0000000	n136														ctg35_17|biosynthetic						
N16.HOG0000009	OG0000000	n156														ctg35_15|biosynthetic						
N16.HOG0000010	OG0000000	n166														ctg35_23|biosynthetic						
N16.HOG0000011	OG0000000	n173													O9326_06150|biosynthetic	ctg148_18|biosynthetic						
N16.HOG0000012	OG0000000	n204														ctg148_15|biosynthetic						
N16.HOG0000013	OG0000001	n3													O9326_16460|biosynthetic	ctg112_4|biosynthetic						
N16.HOG0000014	OG0000001	n24													O9326_16480|biosynthetic	ctg112_8|biosynthetic						
N16.HOG0000015	OG0000002	n1													O9326_22465|transport	ctg148_11|transport						
N16.HOG0000016	OG0000002	n21														ctg35_12|transport						
N16.HOG0000017	OG0000003	n1													O9326_00425|biosynthetic	ctg398_6|biosynthetic						
N16.HOG0000018	OG0000003	n14													O9326_03840|biosynthetic	ctg35_25|biosynthetic						
N16.HOG0000019	OG0000004	n7													O9326_07260|transport	ctg194_10|transport						
N16.HOG0000020	OG0000005	n9													O9326_06160|biosynthetic	ctg148_20|biosynthetic						
N16.HOG0000021	OG0000006	n2													O9326_10025|hypothetical	ctg304_16|hypothetical						
N16.HOG0000022	OG0000006	n13														ctg4_26|hypothetical						
N16.HOG0000023	OG0000007	n13														ctg160_4|regulatory						
N16.HOG0000024	OG0000009	n7													O9326_06155|hypothetical	ctg148_19|hypothetical						
N16.HOG0000025	OG0000010	n0													O9326_10295|other	ctg160_8|other						
N16.HOG0000026	OG0000011	n0													O9326_10300|biosynthetic-additional	ctg160_9|biosynthetic-additional						
N16.HOG0000027	OG0000012	n0													O9326_10305|biosynthetic	ctg160_10|biosynthetic						
N16.HOG0000028	OG0000013	n0													O9326_02715|biosynthetic	ctg221_16|biosynthetic						
N16.HOG0000029	OG0000014	n2														ctg4_13|biosynthetic						
N16.HOG0000030	OG0000015	n0													O9326_10310|hypothetical	ctg160_11|hypothetical						
N16.HOG0000031	OG0000016	n0													O9326_02720|hypothetical	ctg221_17|hypothetical						
N16.HOG0000032	OG0000017	n0													O9326_02725|hypothetical	ctg221_18|hypothetical						
N16.HOG0000033	OG0000018	n0													O9326_09990|hypothetical	ctg304_7|hypothetical						
N16.HOG0000034	OG0000019	n0													O9326_09970|biosynthetic	ctg304_3|biosynthetic						
N16.HOG0000035	OG0000020	n0													O9326_10005|hypothetical	ctg304_12|hypothetical						
N16.HOG0000036	OG0000021	n0													O9326_09995|hypothetical	ctg304_8|hypothetical						
N16.HOG0000037	OG0000022	n0													O9326_09965|hypothetical	ctg304_2|hypothetical						
N16.HOG0000038	OG0000023	n0													O9326_10290|hypothetical	ctg160_7|hypothetical						
N16.HOG0000039	OG0000024	n8														ctg398_24|hypothetical						
N16.HOG0000040	OG0000024	n10													O9326_10350|hypothetical	ctg160_19|hypothetical						
N16.HOG0000041	OG0000025	n0													O9326_02710|hypothetical	ctg221_15|hypothetical						
N16.HOG0000042	OG0000026	n0													O9326_02730|biosynthetic-additional	ctg221_19|biosynthetic-additional						
N16.HOG0000043	OG0000027	n0													O9326_10015|hypothetical	ctg304_14|hypothetical						
N16.HOG0000044	OG0000028	n0													O9326_10010|hypothetical	ctg304_13|hypothetical						
N16.HOG0000045	OG0000029	n0													O9326_10285|other	ctg160_6|other						
N16.HOG0000046	OG0000030	n0													O9326_02735|hypothetical	ctg221_20|hypothetical						
N16.HOG0000047	OG0000031	n2														ctg188_4|hypothetical, ctg188_5|hypothetical						
N16.HOG0000048	OG0000032	n3														ctg398_14|transport						
N16.HOG0000049	OG0000032	n13														ctg122_23|transport						
N16.HOG0000050	OG0000033	n0													O9326_04750|other	ctg398_12|other						
N16.HOG0000051	OG0000034	n0													O9326_10315|hypothetical	ctg160_12|hypothetical						
N16.HOG0000052	OG0000035	n0													O9326_02740|hypothetical	ctg221_21|hypothetical						
N16.HOG0000053	OG0000036	n0													O9326_02745|hypothetical	ctg221_22|hypothetical						
