HOG	OG	Gene Tree Parent Clade	LE17_10A	LE17_20C	LE18_22.4.newname	LE19_10.1C	LE19_114.1A	LE19_12.1	LE19_131.1	LE19_195.1	LE19_196.1	LE19_197	LE19_251	LE19_281	LE19_338.1	LE19_388.1C	LE19_4.1A	LE19_41.2	LE19_55.1	LE19_8.1	LE19_84.1	LE19_98.1
N9.HOG0000000	OG0000000	n10						O9329_17520|biosynthetic				ctg151_26|biosynthetic										
N9.HOG0000001	OG0000000	n15								O9300_03835|biosynthetic												
N9.HOG0000002	OG0000000	n23						O9329_17525|biosynthetic		O9300_03840|biosynthetic		ctg151_27|biosynthetic										
N9.HOG0000003	OG0000000	n73						O9329_24300|biosynthetic				ctg71_27|biosynthetic										
N9.HOG0000004	OG0000000	n102						O9329_18665|biosynthetic				ctg16_60|biosynthetic										
N9.HOG0000005	OG0000000	n113						O9329_03630|biosynthetic, O9329_19240|biosynthetic				ctg269_8|biosynthetic										
N9.HOG0000006	OG0000000	n120						O9329_18670|biosynthetic				ctg16_61|biosynthetic										
N9.HOG0000007	OG0000000	n135										ctg109_5|biosynthetic										
N9.HOG0000008	OG0000000	n165						O9329_18645|biosynthetic				ctg16_57|biosynthetic										
N9.HOG0000009	OG0000000	n190						O9329_19235|biosynthetic				ctg269_9|biosynthetic										
N9.HOG0000010	OG0000000	n204						O9329_18655|biosynthetic				ctg16_59|biosynthetic										
N9.HOG0000011	OG0000000	n211						O9329_19230|biosynthetic				ctg159_1|biosynthetic, ctg114_4|biosynthetic, ctg269_10|biosynthetic										
N9.HOG0000012	OG0000000	n220										ctg109_6|biosynthetic										
N9.HOG0000013	OG0000000	n224										ctg109_7|biosynthetic										
N9.HOG0000014	OG0000000	n227						O9329_18630|biosynthetic, O9329_08425|biosynthetic				ctg14_3|biosynthetic, ctg105_2|biosynthetic										
N9.HOG0000015	OG0000001	n3						O9329_09335|biosynthetic		O9300_01895|biosynthetic		ctg166_20|biosynthetic										
N9.HOG0000016	OG0000001	n16						O9329_09330|biosynthetic		O9300_01915|biosynthetic												
N9.HOG0000017	OG0000001	n24						O9329_19185|biosynthetic		O9300_05610|biosynthetic		ctg166_24|biosynthetic										
N9.HOG0000018	OG0000002	n1						O9329_18675|transport				ctg16_62|transport										
N9.HOG0000019	OG0000002	n12						O9329_00605|transport		O9300_08515|transport		ctg21_36|transport										
N9.HOG0000020	OG0000002	n21										ctg109_8|transport										
N9.HOG0000021	OG0000002	n31										ctg114_3|transport										
N9.HOG0000022	OG0000003	n1						O9329_17515|biosynthetic		O9300_03830|biosynthetic		ctg151_25|biosynthetic										
N9.HOG0000023	OG0000003	n14						O9329_03615|biosynthetic-additional				ctg269_5|biosynthetic-additional										
N9.HOG0000024	OG0000004	n11								O9300_05645|transport												
N9.HOG0000025	OG0000004	n25						O9329_16045|transport				ctg180_55|transport										
N9.HOG0000026	OG0000004	n26						O9329_24245|transport				ctg71_16|transport										
N9.HOG0000027	OG0000005	n1						O9329_00625|biosynthetic		O9300_08535|biosynthetic		ctg21_31|biosynthetic										
N9.HOG0000028	OG0000005	n9						O9329_22190|biosynthetic				ctg16_55|biosynthetic										
N9.HOG0000029	OG0000006	n2										ctg327_11|hypothetical										
N9.HOG0000030	OG0000006	n9								O9300_05620|hypothetical		ctg166_26|hypothetical										
N9.HOG0000031	OG0000006	n13										ctg166_28|hypothetical										
N9.HOG0000032	OG0000007	n5						O9329_22595|regulatory		O9300_05655|regulatory		ctg327_26|regulatory										
N9.HOG0000033	OG0000007	n13								O9300_09090|regulatory												
N9.HOG0000034	OG0000009	n0						O9329_18640|hypothetical				ctg16_56|hypothetical										
N9.HOG0000035	OG0000010	n0						O9329_20430|other		O9300_09070|other		ctg107_4|other										
N9.HOG0000036	OG0000011	n0						O9329_20435|biosynthetic-additional		O9300_09065|biosynthetic-additional		ctg107_5|biosynthetic-additional										
N9.HOG0000037	OG0000012	n0						O9329_20440|biosynthetic		O9300_09060|biosynthetic		ctg107_6|biosynthetic										
N9.HOG0000038	OG0000013	n0						O9329_24755|biosynthetic		O9300_15375|biosynthetic		ctg93_22|biosynthetic										
N9.HOG0000039	OG0000014	n5						O9329_04825|biosynthetic				ctg26_42|biosynthetic										
N9.HOG0000040	OG0000014	n10						O9329_09645|biosynthetic														
N9.HOG0000041	OG0000014	n11										ctg26_37|biosynthetic										
N9.HOG0000042	OG0000015	n0						O9329_20445|hypothetical		O9300_09055|hypothetical		ctg107_7|hypothetical										
N9.HOG0000043	OG0000016	n0						O9329_24760|hypothetical		O9300_15370|hypothetical		ctg93_23|hypothetical										
