HOG	OG	Gene Tree Parent Clade	LE17_10A	LE17_20C	LE18_22.4.newname	LE19_10.1C	LE19_114.1A	LE19_12.1	LE19_131.1	LE19_195.1	LE19_196.1	LE19_197	LE19_251	LE19_281	LE19_338.1	LE19_388.1C	LE19_4.1A	LE19_41.2	LE19_55.1	LE19_8.1	LE19_84.1	LE19_98.1
N14.HOG0000000	OG0000000	n4																			O9324_10775|biosynthetic	
N14.HOG0000001	OG0000000	n15													O9326_00420|biosynthetic	ctg398_7|biosynthetic						
N14.HOG0000002	OG0000000	n27													O9326_00665|biosynthetic	ctg188_2|biosynthetic						
N14.HOG0000003	OG0000000	n31													O9326_00415|biosynthetic	ctg398_8|biosynthetic						
N14.HOG0000004	OG0000000	n44																			O9324_10760|biosynthetic	
N14.HOG0000005	OG0000000	n47														ctg188_3|biosynthetic						
N14.HOG0000006	OG0000000	n55													O9326_23810|biosynthetic	ctg122_12|biosynthetic						
N14.HOG0000007	OG0000000	n73													O9326_11030|biosynthetic, O9326_10340|biosynthetic	ctg160_17|biosynthetic					O9324_18520|biosynthetic	
N14.HOG0000008	OG0000000	n93																			O9324_10770|biosynthetic	
N14.HOG0000009	OG0000000	n102													O9326_22475|biosynthetic	ctg148_14|biosynthetic					O9324_10000|biosynthetic	
N14.HOG0000010	OG0000000	n125													O9326_22480|biosynthetic-additional						O9324_09995|biosynthetic-additional	
N14.HOG0000011	OG0000000	n136														ctg35_17|biosynthetic					O9324_11520|biosynthetic	
N14.HOG0000012	OG0000000	n151																			O9324_10790|biosynthetic	
N14.HOG0000013	OG0000000	n156														ctg35_15|biosynthetic					O9324_11530|biosynthetic	
N14.HOG0000014	OG0000000	n166														ctg35_23|biosynthetic					O9324_11490|biosynthetic	
N14.HOG0000015	OG0000000	n173													O9326_06150|biosynthetic	ctg148_18|biosynthetic					O9324_21720|biosynthetic	
N14.HOG0000016	OG0000000	n204														ctg148_15|biosynthetic						
N14.HOG0000017	OG0000001	n3													O9326_16460|biosynthetic	ctg112_4|biosynthetic					O9324_19140|biosynthetic	
N14.HOG0000018	OG0000001	n16																			O9324_10480|biosynthetic, O9324_19120|biosynthetic	
N14.HOG0000019	OG0000001	n24													O9326_16480|biosynthetic	ctg112_8|biosynthetic					O9324_11190|biosynthetic, O9324_10475|biosynthetic	
N14.HOG0000020	OG0000002	n1													O9326_22465|transport	ctg148_11|transport						
N14.HOG0000021	OG0000002	n21														ctg35_12|transport					O9324_11540|transport	
N14.HOG0000022	OG0000002	n31																			O9324_10755|transport	
