HOG	OG	Gene Tree Parent Clade	LE17_10A	LE17_20C	LE18_22.4.newname	LE19_10.1C	LE19_114.1A	LE19_12.1	LE19_131.1	LE19_195.1	LE19_196.1	LE19_197	LE19_251	LE19_281	LE19_338.1	LE19_388.1C	LE19_4.1A	LE19_41.2	LE19_55.1	LE19_8.1	LE19_84.1	LE19_98.1
N18.HOG0000000	OG0000000	n4												ctg1773_1|biosynthetic				O9290_11900|biosynthetic				
N18.HOG0000001	OG0000000	n27												ctg849_2|biosynthetic				O9290_00990|biosynthetic				
N18.HOG0000002	OG0000000	n44												ctg238_1|biosynthetic				O9290_11915|biosynthetic				
N18.HOG0000003	OG0000000	n47												ctg206_2|biosynthetic				O9290_00985|biosynthetic				
N18.HOG0000004	OG0000000	n55												ctg1396_1|biosynthetic				O9290_01000|biosynthetic				
N18.HOG0000005	OG0000000	n61												ctg357_2|biosynthetic				O9290_18875|biosynthetic				
N18.HOG0000006	OG0000000	n67												ctg982_1|biosynthetic				O9290_07545|biosynthetic				
N18.HOG0000007	OG0000000	n73												ctg456_3|biosynthetic				O9290_15725|biosynthetic				
N18.HOG0000008	OG0000000	n87												ctg1773_3|biosynthetic-additional, ctg1662_2|biosynthetic-additional								
N18.HOG0000009	OG0000000	n93												ctg555_1|biosynthetic				O9290_11905|biosynthetic				
N18.HOG0000010	OG0000000	n98												ctg1366_2|biosynthetic, ctg1209_19|biosynthetic								
N18.HOG0000011	OG0000000	n102												ctg1707_1|biosynthetic								
N18.HOG0000012	OG0000000	n125												ctg1707_2|biosynthetic				O9290_03545|biosynthetic				
N18.HOG0000013	OG0000000	n131												ctg1364_1|biosynthetic				O9290_09250|biosynthetic				
N18.HOG0000014	OG0000000	n136												ctg46_1|biosynthetic				O9290_26340|biosynthetic				
N18.HOG0000015	OG0000000	n148																O9290_11890|biosynthetic				
N18.HOG0000016	OG0000000	n151												ctg1684_1|biosynthetic				O9290_21745|biosynthetic				
N18.HOG0000017	OG0000000	n156												ctg521_4|biosynthetic				O9290_26330|biosynthetic				
N18.HOG0000018	OG0000000	n166												ctg326_5|biosynthetic				O9290_26370|biosynthetic				
N18.HOG0000019	OG0000000	n173												ctg1328_1|biosynthetic, ctg994_1|hypothetical				O9290_18925|biosynthetic				
N18.HOG0000020	OG0000000	n204												ctg582_1|biosynthetic								
N18.HOG0000021	OG0000001	n3																O9290_00610|biosynthetic				
N18.HOG0000022	OG0000001	n24												ctg36_1|biosynthetic				O9290_00630|biosynthetic				
N18.HOG0000023	OG0000002	n1																O9290_09245|transport				
N18.HOG0000024	OG0000002	n21												ctg521_1|hypothetical				O9290_26315|transport				
N18.HOG0000025	OG0000002	n31																O9290_11920|transport				
N18.HOG0000026	OG0000003	n14												ctg326_3|biosynthetic				O9290_26380|biosynthetic				
N18.HOG0000027	OG0000005	n9												ctg994_3|biosynthetic				O9290_18935|biosynthetic				
N18.HOG0000028	OG0000006	n13																O9290_07475|hypothetical, O9290_00585|hypothetical				
N18.HOG0000029	OG0000007	n5																O9290_00360|regulatory				
N18.HOG0000030	OG0000008	n4																O9290_07525|biosynthetic-additional				
N18.HOG0000031	OG0000008	n9																O9290_07520|biosynthetic-additional				
N18.HOG0000032	OG0000008	n14																O9290_26335|biosynthetic-additional				
N18.HOG0000033	OG0000009	n2												ctg994_2|hypothetical				O9290_18930|hypothetical				
N18.HOG0000034	OG0000010	n0												ctg993_1|other				O9290_19125|other				
N18.HOG0000035	OG0000011	n0												ctg993_2|biosynthetic-additional				O9290_19130|biosynthetic-additional				
N18.HOG0000036	OG0000012	n0												ctg993_3|biosynthetic				O9290_19135|biosynthetic				
N18.HOG0000037	OG0000013	n0												ctg562_1|biosynthetic				O9290_23380|biosynthetic				
N18.HOG0000038	OG0000014	n11												ctg1648_1|biosynthetic				O9290_04835|biosynthetic				
N18.HOG0000039	OG0000015	n0																O9290_19140|hypothetical				
N18.HOG0000040	OG0000016	n0												ctg562_2|hypothetical				O9290_23385|hypothetical				
N18.HOG0000041	OG0000017	n0												ctg562_3|hypothetical				O9290_23390|hypothetical				
N18.HOG0000042	OG0000018	n0																O9290_00390|hypothetical				
N18.HOG0000043	OG0000019	n0																O9290_00385|biosynthetic				
N18.HOG0000044	OG0000020	n0																O9290_00405|hypothetical				
N18.HOG0000045	OG0000021	n0																O9290_00395|hypothetical				
N18.HOG0000046	OG0000022	n0																O9290_00380|hypothetical				
N18.HOG0000047	OG0000023	n0																O9290_19120|hypothetical				
N18.HOG0000048	OG0000024	n3																O9290_15735|hypothetical				
N18.HOG0000049	OG0000024	n10																O9290_15740|hypothetical				
N18.HOG0000050	OG0000025	n0																O9290_23375|hypothetical				
N18.HOG0000051	OG0000026	n0												ctg562_4|biosynthetic-additional								
N18.HOG0000052	OG0000027	n0																O9290_00415|hypothetical				
N18.HOG0000053	OG0000028	n0																O9290_00410|hypothetical				
N18.HOG0000054	OG0000029	n0																O9290_19115|other				
N18.HOG0000055	OG0000030	n0												ctg562_5|hypothetical								
