HOG	OG	Gene Tree Parent Clade	LE17_10A	LE17_20C	LE18_22.4.newname	LE19_10.1C	LE19_114.1A	LE19_12.1	LE19_131.1	LE19_195.1	LE19_196.1	LE19_197	LE19_251	LE19_281	LE19_338.1	LE19_388.1C	LE19_4.1A	LE19_41.2	LE19_55.1	LE19_8.1	LE19_84.1	LE19_98.1
N10.HOG0000000	OG0000000	n15				ctg608_6|biosynthetic							O9338_13510|biosynthetic									
N10.HOG0000001	OG0000000	n27				ctg148_24|biosynthetic																
N10.HOG0000002	OG0000000	n31				ctg608_7|biosynthetic							O9338_13505|biosynthetic									
N10.HOG0000003	OG0000000	n41				ctg148_25|biosynthetic																
N10.HOG0000004	OG0000000	n55				ctg148_22|biosynthetic																
N10.HOG0000005	OG0000000	n61				ctg217_3|biosynthetic							O9338_16155|biosynthetic									
N10.HOG0000006	OG0000000	n67				ctg645_10|biosynthetic							O9338_06840|biosynthetic									
N10.HOG0000007	OG0000000	n73				ctg682_3|biosynthetic																
N10.HOG0000008	OG0000000	n102				ctg378_1|biosynthetic-additional																
N10.HOG0000009	OG0000000	n125				ctg299_1|biosynthetic, ctg378_2|biosynthetic							O9338_18415|biosynthetic									
N10.HOG0000010	OG0000000	n131				ctg444_4|biosynthetic							O9338_07665|biosynthetic									
N10.HOG0000011	OG0000000	n136				ctg46_10|biosynthetic																
N10.HOG0000012	OG0000000	n148				ctg3_1|biosynthetic							O9338_18180|biosynthetic									
N10.HOG0000013	OG0000000	n151				ctg286_1|biosynthetic																
N10.HOG0000014	OG0000000	n156				ctg46_13|biosynthetic																
N10.HOG0000015	OG0000000	n166				ctg46_4|biosynthetic																
N10.HOG0000016	OG0000000	n173				ctg403_2|biosynthetic							O9338_08830|biosynthetic									
N10.HOG0000017	OG0000001	n3				ctg104_8|biosynthetic							O9338_13705|biosynthetic									
N10.HOG0000018	OG0000001	n16				ctg104_2|biosynthetic							O9338_13675|biosynthetic									
N10.HOG0000019	OG0000001	n24				ctg156_4|biosynthetic							O9338_10155|biosynthetic									
N10.HOG0000020	OG0000002	n1				ctg444_3|transport							O9338_07660|transport									
N10.HOG0000021	OG0000002	n12				ctg432_6|transport							O9338_03035|transport									
N10.HOG0000022	OG0000002	n21				ctg46_16|transport																
N10.HOG0000023	OG0000003	n1				ctg608_5|biosynthetic							O9338_13515|biosynthetic									
N10.HOG0000024	OG0000003	n14				ctg46_2|biosynthetic																
N10.HOG0000025	OG0000004	n11				ctg148_13|transport																
N10.HOG0000026	OG0000005	n1				ctg432_10|biosynthetic							O9338_03060|biosynthetic									
N10.HOG0000027	OG0000005	n9											O9338_21825|biosynthetic									
N10.HOG0000028	OG0000006	n13				ctg148_10|hypothetical																
