Gene	Annotation	g+t+	g+t-	g-t+	g-t-	sensitivity	specificity	odds_ratio	fisher_p	fisher_q	empirical_p	fq*ep	contrasting	supporting	opposing	best	worst
N0.HOG0000181	protein	4	1	1	12	80.0	92.3076923076923	48.0	0.0077030812324929	1.0	0.01990049751243781	0.01990049751243781	3	3	0	0.25	0.25
N0.HOG0000224	(rule-based-clusters) PF07366	3	1	2	12	60.0	92.3076923076923	18.0	0.0441176470588235	1.0	0.1691542288557214	0.1691542288557214	2	2	1	0.5	1.0
N0.HOG0000023	(rule-based-clusters) cyanobactin: cyanobactin_synth	1	13	4	0	80.0	100.0	0.0	0.0016339869281045	1.0	0.1791044776119403	0.1791044776119403	2	0	2	0.5	0.5
N0.HOG0000278	(smcogs) SMCOG1122:ATP-dependent RNA helicase (Score: 90.1; E-value: 2.1e-27)	3	1	2	12	60.0	92.3076923076923	18.0	0.0441176470588235	1.0	0.21393034825870647	0.21393034825870647	2	2	1	0.5	1.0
N0.HOG0000277	(smcogs) SMCOG1272:TPR repeat-containing protein (Score: 76.6; E-value: 3.4e-23)	3	1	2	12	60.0	92.3076923076923	18.0	0.0441176470588235	1.0	0.21393034825870647	0.21393034825870647	2	2	1	0.5	1.0
N0.HOG0000226	protein	3	1	2	12	60.0	92.3076923076923	18.0	0.0441176470588235	1.0	0.21393034825870647	0.21393034825870647	2	2	1	0.5	1.0
N0.HOG0000032	protein	4	1	1	12	80.0	92.3076923076923	48.0	0.0077030812324929	1.0	0.2736318407960199	0.2736318407960199	2	2	1	0.5	1.0
N0.HOG0000219	(smcogs) SMCOG1029:RND family efflux transporter MFP subunit (Score: 114; E-value: 1.2e-34)	4	1	1	12	80.0	92.3076923076923	48.0	0.0077030812324929	1.0	0.30845771144278605	0.30845771144278605	3	2	1	1.0	1.0
N0.HOG0000228	protein	4	1	1	12	80.0	92.3076923076923	48.0	0.0077030812324929	1.0	0.30845771144278605	0.30845771144278605	3	2	1	1.0	1.0
N0.HOG0000188	(rule-based-clusters) Aminotran_5	4	1	1	12	80.0	92.3076923076923	48.0	0.0077030812324929	1.0	0.3333333333333333	0.3333333333333333	3	2	1	1.0	1.0
