Gene	Annotation	g+t+	g+t-	g-t+	g-t-	sensitivity	specificity	odds_ratio	fisher_p	fisher_q	empirical_p	fq*ep	contrasting	supporting	opposing	best	worst
N0.HOG0000511	protein	2	0	1	12	66.66666666666666	100.0	inf	0.0285714285714284	1.0	0.03482587064676617	0.03482587064676617	2	2	0	0.5	0.5
N0.HOG0000512	(rule-based-clusters) Aminotran_1_2	2	0	1	12	66.66666666666666	100.0	inf	0.0285714285714284	1.0	0.03482587064676617	0.03482587064676617	2	2	0	0.5	0.5
N0.HOG0000513	(rule-based-clusters) Fer4_12	2	0	1	12	66.66666666666666	100.0	inf	0.0285714285714284	1.0	0.03482587064676617	0.03482587064676617	2	2	0	0.5	0.5
N0.HOG0000514	protein	2	0	1	12	66.66666666666666	100.0	inf	0.0285714285714284	1.0	0.03482587064676617	0.03482587064676617	2	2	0	0.5	0.5
N0.HOG0000516	(rule-based-clusters) ADH_N	2	0	1	12	66.66666666666666	100.0	inf	0.0285714285714284	1.0	0.03482587064676617	0.03482587064676617	2	2	0	0.5	0.5
N0.HOG0000517	(smcogs) SMCOG1041:transcriptional regulator, SARP family (Score: 71.5; E-value: 9e-22)	2	0	1	12	66.66666666666666	100.0	inf	0.0285714285714284	1.0	0.03482587064676617	0.03482587064676617	2	2	0	0.5	0.5
N0.HOG0000518	protein	2	0	1	12	66.66666666666666	100.0	inf	0.0285714285714284	1.0	0.03482587064676617	0.03482587064676617	2	2	0	0.5	0.5
N0.HOG0000519	protein	2	0	1	12	66.66666666666666	100.0	inf	0.0285714285714284	1.0	0.03482587064676617	0.03482587064676617	2	2	0	0.5	0.5
N0.HOG0000520	protein	2	0	1	12	66.66666666666666	100.0	inf	0.0285714285714284	1.0	0.03482587064676617	0.03482587064676617	2	2	0	0.5	0.5
N0.HOG0000023	(rule-based-clusters) cyanobactin: cyanobactin_synth	0	11	3	1	100.0	91.66666666666666	0.0	0.0087912087912088	1.0	0.15422885572139303	0.15422885572139303	2	0	2	0.5	0.5
